CustomerID,Count,AppID,FundedAppCount,TierName,Stage,StageDate,PaymentStatus,FundedDate,LastPaymentDate,IssuedAmount,TotalDue,Payment
20070644,1,104237,1,SmartPing 5-75,External Collections – Expired,24/03/2025,Partially Paid,17/01/2022,05/01/2024,£500,£18,£982
24984910,1,723300,1,Flux CPF,Funds Sent,03/01/2025,Paying,03/01/2025,30/05/2025,£600,£159,£978
21826491,1,690055,2,TDOTUK 10,External Collections – Payment Plan,27/05/2025,Payment Plan,22/11/2024,27/05/2025,£500,£623,£977
25208304,1,721334,2,TDOTUK 3-50,Funds Sent,31/12/2024,Paying,31/12/2024,27/05/2025,£600,£163,£976
25278934,1,693462,1,Cozi 1-80,Collections M1,16/05/2025,Partially Paid,27/11/2024,21/02/2025,"£1,000","£1,029",£971
21800818,1,753165,1,DLT CPF35,Funds Sent,10/02/2025,Paying,10/02/2025,28/05/2025,£800,£379,£969
20594678,1,197215,1,TDOTUK 8,External Collections – Payment Plan,27/06/2024,Payment Plan,01/12/2022,27/05/2025,£500,£32,£968
21099870,1,185063,1,Organic,External Collections,11/03/2025,Partially Paid,01/11/2022,30/06/2024,£500,£36,£964
25126945,1,723206,1,Cozi 1-80,Funds Sent,02/01/2025,Paying,02/01/2025,23/05/2025,£600,£171,£964
20026988,1,174376,1,SmartPing 5-75,External Collections – Payment Plan,05/11/2024,Payment Plan,02/10/2022,03/06/2025,£500,£64,£961
20289447,1,530798,2,TDOTUK 9,Payment Plan,03/01/2025,Payment Plan,13/05/2024,30/05/2025,£500,£43,£957
22509271,1,350587,1,Nouveau 3-15,External Collections – Payment Plan,18/11/2024,Payment Plan,25/08/2023,27/05/2025,£500,£43,£957
20547967,1,727335,2,Repeat,Funds Sent,06/01/2025,Paying,06/01/2025,30/05/2025,£600,£159,£957
20072688,1,123493,1,Nouveau 9-25,External Collections – Expired,24/03/2025,Partially Paid,25/04/2022,05/12/2024,£500,£48,£953
23011242,1,390245,1,Flux CPF,Funds Sent,27/10/2023,Paying,27/10/2023,30/05/2025,£500,£50,£950
21343422,1,235539,1,Nouveau 7-30,External Collections – Payment Plan,24/09/2023,Payment Plan,20/02/2023,08/05/2025,£500,£50,£950
21446945,1,239898,1,TDOTUK 8-50,External Collections – Payment Plan,10/10/2024,Payment Plan,02/03/2023,22/05/2025,£500,£51,£949
20047135,1,209405,1,LeadAffinity 3-10,External Collections – Expired,24/02/2025,Partially Paid,23/12/2022,17/03/2024,£500,£52,£948
21138825,1,210547,1,Nouveau 3-15,Collections M1,02/06/2025,Partially Paid,29/12/2022,28/02/2025,£400,£275,£947
20695692,1,142268,1,Nouveau 5-50,Payment Plan,03/11/2022,Payment Plan,04/07/2022,29/05/2025,£500,£54,£946
23456611,1,654145,2,Repeat,Payment Plan,27/02/2025,Payment Plan,09/10/2024,30/05/2025,£500,£56,£944
24145749,1,717809,3,Repeat,Payment Plan,24/05/2025,Payment Plan,27/12/2024,26/05/2025,£600,£241,£944
20385546,1,355219,1,StopGo 3-20,Payment Plan,01/03/2024,Payment Plan,02/09/2023,07/05/2025,£500,£56,£944
